Order Number,Definition,Part_of_Speech,Correct_Character,Correct_Pinyin,Frequency,Usage,Choice_A_Char,Choice_A_Pinyin,Choice_B_Char,Choice_B_Pinyin,Choice_C_Char,Choice_C_Pinyin,Choice_D_Char,Choice_D_Pinyin,Choice_E_Char,Choice_E_Pinyin,Correct_Choice
985,"To suit, fit, or be appropriate for something; to be comfortable or suitable. Also means 'to go to' in classical Chinese.",verb/adjective,适,shi4,7,"Commonly seen in words like 适合 (suitable), 舒适 (comfortable), 适应 (adapt to)",闪,shan3,精,jing1,难,nan2,适,shi4,静,jing4,D
986,A bell or small ringing device that makes a tinkling sound when shaken or struck.,noun,铃,ling2,7,"Commonly found in compounds like 门铃 (doorbell), 铃声 (ringtone), and 风铃 (wind chime)",令,ling4,妮,ni1,其,qi2,根,gen1,铃,ling2,E
987,"To close or shut something, such as a door, window, eyes, or mouth.",verb,闭,bi4,7,"Common in words like 关闭 (to close), 闭嘴 (shut up), and 闭眼 (close eyes)",闭,bi4,新,xin1,茨,ci2,止,zhi3,另,ling4,A
988,"To shake, vibrate, or shock; refers to earthquakes or strong trembling movements that cause impact or surprise.",verb/noun,震,zhen4,7,"Commonly seen in words like 地震 (earthquake), 震动 (vibration), and 震惊 (shocked/astonished)",烦,fan2,镜,jing4,带,dai4,院,yuan4,震,zhen4,E
989,Mold or mildew; also refers to bad luck or misfortune in colloquial usage.,noun/adjective,霉,mei2,7,Common in words like 发霉 (to become moldy) and 倒霉 (to have bad luck),参,can1,位,wei4,板,ban3,于,yu2,霉,mei2,E
990,To bow deeply or bend over as a sign of respect; also refers to raising or nurturing (in literary contexts).,verb,鞠,ju1,7,"Most commonly seen in the phrase 鞠躬 (jū gōng, to bow) and 鞠养 (jū yǎng, to raise/nurture)",鞠,ju1,记,ji4,越,yue4,主,zhu3,灵,ling2,A
991,Bone; the hard structural parts of the skeleton in humans and animals.,noun,骨,gu3,7,"Common in words like 骨头 (bone), 骨折 (fracture), and 骨气 (moral integrity/backbone)",争,zheng1,传,chuan2,骨,gu3,级,ji2,弄,nong4,C
992,"A drum (noun); to beat or strike a drum, or to encourage/inspire someone (verb)",noun/verb,鼓,gu3,7,Common in words like 打鼓 (play the drum) and 鼓励 (encourage),远,yuan3,留,liu2,副,fu4,举,ju3,鼓,gu3,E
993,"The number ten thousand (10,000); a large numerical unit in the Chinese counting system",number,万,wan4,6,"Essential for expressing large numbers, like 三万 (30,000) or 一万块钱 (10,000 yuan)",万,wan4,麻,ma2,倒,dao4,题,ti2,帕,pa4,A
994,A conjunction meaning 'and' or 'moreover' that connects clauses or ideas; also used to mean 'for now' or 'temporarily' in certain contexts.,conjunction/adverb,且,qie3,6,"Common in formal or written Chinese, as in 而且 (moreover) or 并且 (and also)",喊,han3,且,qie3,爱,ai4,仔,zai3,喘,chuan3,B
995,Long (in duration of time); refers to a lengthy period or extended time span.,adjective,久,jiu3,6,"Common in phrases like 很久 (very long time), 好久不见 (long time no see)",五,wu3,久,jiu3,服,fu2,严,yan2,期,qi1,B
996,"To urge, promote, or hurry someone to do something; also means short or brief in time or space.",verb/adjective,促,cu4,6,"Commonly seen in words like 促进 (to promote), 促使 (to urge), and 短促 (brief/short)",之,zhi1,于,yu2,促,cu4,暗,an4,威,wei1,C
997,"A measure word for objects with specific forms, such as corpses, coffins, or sets of items; also means 'tool' or 'to possess/have' in formal contexts.",measure word/noun/verb,具,ju4,6,"Commonly seen in 一具尸体 (one corpse), 工具 (tool), or 具有 (to possess/have)",御,yu4,座,zuo4,具,ju4,恼,nao3,血,xue4,C
998,"To gather together, collect, or pool (money, people, or things); to move close to something or someone.",verb,凑,cou4,6,Common in phrases like 凑钱 (pool money together) and 凑合 (make do with what's available),顾,gu4,吼,hou3,友,you3,凑,cou4,行,xing2,D
999,"Female phoenix in Chinese mythology, representing the empress or feminine imperial power. Always used in the compound 凤凰 (fènghuáng), where 凤 is the male phoenix and 凰 is the female phoenix.",noun,凰,huang2,6,Rarely used alone; almost exclusively appears in the word 凤凰 (phoenix),凰,huang2,塞,sai1,由,you2,雷,lei2,兄,xiong1,A
1000,"A spoon or key; a utensil for eating or scooping, or an instrument for opening locks.",noun,匙,shi,6,Commonly seen in compounds like 钥匙 (yàoshi - key) and 汤匙 (tāngchí - spoon),圣,sheng4,魂,hun2,乐,le4,匙,shi,隐,yin3,D
1001,"To occupy or take up (space, time, or a position); to account for or constitute (a proportion or percentage).",verb,占,zhan4,6,Common in phrases like 占地方 (take up space) and 占百分之十 (account for 10 percent),跑,pao3,占,zhan4,睡,shui4,敲,qiao1,阴,yin1,B
1002,"Means 'namely', 'that is', or 'immediately/right away'. Often used in formal writing to clarify or specify something, or to indicate immediacy.",adverb/conjunction,即,ji2,6,"Common in phrases like 即使 (even if), 立即 (immediately), 即将 (about to)",纸,zhi3,户,hu4,止,zhi3,尺,chi3,即,ji2,E
1003,"Means 'opposite', 'contrary', or 'anti-'; also used as a verb meaning 'to oppose' or 'to reverse'",adjective/verb,反,fan3,6,"Common in words like 反对 (oppose), 相反 (opposite), and 反应 (reaction/response)",堆,dui1,算,suan4,反,fan3,莫,mo4,挥,hui1,C
1004,"An onomatopoeia representing gurgling, cooing, or murmuring sounds. Often used to mimic sounds made by birds, stomachs, or bubbling liquids.",onomatopoeia,咕,gu1,6,Commonly appears in reduplicated forms like 咕咕 (gūgū) for bird cooing or 咕噜 (gūlu) for stomach rumbling,够,gou4,咕,gu1,咒,zhou4,复,fu4,守,shou3,B
1005,"A modal particle used at the end of sentences to indicate a light, casual tone or to soften a statement, similar to 'well' or 'you know' in English.",particle,咯,ge1,6,"Often used in spoken Mandarin to make statements sound friendlier or less direct, as in 好咯 (alright then)",讲,jiang3,威,wei1,乔,qiao2,银,yin2,咯,ge1,E
1006,"A character used to represent murmuring or muttering sounds, typically soft and indistinct speech.",onomatopoeia/verb,喃,nan2,6,Most commonly seen in the compound word 喃喃 (nán nán) meaning 'to murmur' or in 呢喃 (ní nán) describing soft whispers or bird chirping,控,kong4,佩,pei4,乱,luan4,帐,zhang4,喃,nan2,E
1007,"An onomatopoeia that represents a whooshing or whistling sound, typically describing something moving swiftly through the air.",onomatopoeia,嗖,sou1,6,"Often used to describe the sound of wind, arrows, or objects passing by quickly, as in 嗖的一声 (with a whoosh)",越,yue4,统,tong3,耐,nai4,笼,long2,嗖,sou1,E
1008,"To clip, pinch, or hold something between two objects or surfaces; to place something in between.",verb,夹,jia1,6,"Common in phrases like 夹菜 (to pick up food with chopsticks) and 夹子 (clip, clamp)",摸,mo1,含,han2,概,gai4,升,sheng1,夹,jia1,E
1009,A measure word for sets or collections of things that go together; also means 'to cover' or 'to slip on' as a verb.,measure word/verb,套,tao4,6,"Used for counting sets like 一套书 (a set of books), 一套房子 (an apartment/suite), or as a verb like 套上 (to put on/slip over)",味,wei4,员,yuan2,猜,cai1,套,tao4,棵,ke1,D
1010,"Awkward, embarrassing, or uncomfortable; describes situations or feelings that are socially awkward or cringeworthy.",adjective,尬,ga4,6,Most commonly seen in modern slang like 尴尬 (gān gà - awkward) or 尬聊 (gà liáo - awkward conversation),尬,ga4,餐,can1,解,jie3,躺,tang3,至,zhi4,A
1011,Embarrassed or awkward; describes a feeling of discomfort in social situations.,adjective,尴,gan1,6,Most commonly used in the compound word 尴尬 (gān gà) meaning 'embarrassed' or 'awkward',狗,gou3,段,duan4,尴,gan1,凤,feng4,抱,bao4,C
1012,Fart or flatulence; also used colloquially to mean 'nonsense' or 'nothing at all'.,noun,屁,pi4,6,"Common in informal speech, such as 放屁 (fàng pì - to fart/talk nonsense) or 屁话 (pì huà - nonsense/bullshit)",屁,pi4,帕,pa4,廷,ting2,草,cao3,运,yun4,A
1013,"Left, as in the left side or left direction, opposite of right (右).",noun/adjective,左,zuo3,6,"Common in directional phrases like 左边 (left side), 左手 (left hand), or 向左转 (turn left)",原,yuan2,瓶,ping2,左,zuo3,唐,tang2,忘,wang4,C
1014,"Skillful, clever, or ingenious; describes someone who is good with their hands or has a talent for making things well.",adjective,巧,qiao3,6,"Common in words like 技巧 (skill/technique), 巧克力 (chocolate - phonetic), and 灵巧 (dexterous)",欠,qian4,算,suan4,骨,gu3,巧,qiao3,继,ji4,D
1015,"A warehouse, storehouse, or repository where things are stored. Also commonly used in compound words related to storage and databases.",noun,库,ku4,6,"Found in words like 仓库 (warehouse), 数据库 (database), 车库 (garage)",愤,fen4,库,ku4,脖,bo2,尴,gan1,呆,dai1,B
1016,"Huge, enormous, or gigantic in size or scale. Also commonly used as a surname.",adjective/noun,庞,pang2,6,Most frequently seen in compounds like 庞大 (pángdà - huge/enormous) and 庞然大物 (pángrán dàwù - colossus/behemoth),纳,na4,状,zhuang4,伙,huo3,顿,dun4,庞,pang2,E
1017,"To build, construct, or establish something. Used for both physical structures and abstract concepts like organizations or systems.",verb,建,jian4,6,"Common in words like 建立 (establish), 建设 (construct), 建议 (suggest/propose)",佛,fu2,递,di4,暗,an4,建,jian4,妙,miao4,D
1018,"Different, unusual, or strange; indicates something that differs from the normal or expected.",adjective,异,yi4,6,"Commonly seen in words like 异常 (abnormal), 差异 (difference), and 奇异 (peculiar)",愉,yu2,流,liu2,哧,chi1,异,yi4,勇,yong3,D
1019,To hang or suspend in the air; to be unresolved or pending,verb,悬,xuan2,6,"Common in words like 悬挂 (to hang up), 悬念 (suspense), and 悬而未决 (pending/unresolved)",悬,xuan2,拔,ba2,盖,gai4,掉,diao4,诞,dan4,A
1020,"To bear, undertake, or receive; to承认 (admit) or承担 (take responsibility for something). Often used in formal contexts to express承接 (continuing/inheriting) or承受 (enduring/bearing).",verb,承,cheng2,6,"Common in compounds like 承认 (chéngrèn - to admit), 承担 (chéngdān - to undertake), 承受 (chéngshòu - to bear/endure)",虫,chong2,默,mo4,砰,peng1,匙,shi,承,cheng2,E
1021,"To pick up or gather something from the ground, especially something that has been dropped or discarded.",verb,捡,jian3,6,Commonly used in phrases like 捡垃圾 (pick up trash) or 捡到钱 (find/pick up money),忍,ren3,捡,jian3,恐,kong3,闻,wen2,异,yi4,B
1022,According to; based on. Used to cite sources or indicate the basis for information or claims.,preposition/verb,据,ju4,6,Most commonly seen in the phrase 据说 (jùshuō - it is said that) and 根据 (gēnjù - according to),由,you2,司,si1,签,qian1,据,ju4,祥,xiang2,D
1023,"To hold, grasp, or grip something with the hand; to clasp or shake hands.",verb,握,wo4,6,Commonly used in 握手 (shake hands) and 把握 (grasp/seize an opportunity),握,wo4,迟,chi2,餐,can1,钱,qian2,惕,ti4,A
1024,"To scatter, sprinkle, or spread something loosely (like seeds, salt, or powder). Also means to let go or release.",verb,撒,sa1,6,"Common in phrases like 撒种 (scatter seeds), 撒盐 (sprinkle salt), or 撒手 (let go)",啷,lang1,撒,sa1,晃,huang3,店,dian4,毯,tan3,B
1025,To attack or assault; to study or specialize in a particular subject.,verb,攻,gong1,6,Common in military contexts (进攻 - to attack) and academic contexts (攻读 - to study for a degree),拐,guai3,确,que4,联,lian2,攻,gong1,股,gu3,D
1026,Travel or journey; refers to taking a trip or being away from home for tourism or exploration.,noun/verb,旅,lv3,6,"Commonly seen in words like 旅行 (travel), 旅游 (tourism), and 旅客 (traveler/passenger)",丛,cong2,旅,lv3,呀,ya,甚,shen4,阳,yang2,B
1027,"Morning or early morning, specifically the time around dawn or sunrise.",noun,晨,chen2,6,Commonly seen in words like 早晨 (zǎochén - morning) and 清晨 (qīngchén - early morning),晨,chen2,噗,pu1,户,hu4,言,yan2,嗓,sang3,A
1028,"Scenery, view, or landscape; can also refer to a situation or scene. Often used to describe natural or urban views and sights.",noun,景,jing3,6,"Common in words like 风景 (fēngjǐng - scenery), 景色 (jǐngsè - landscape), and 背景 (bèijǐng - background)",机,ji1,惠,hui4,景,jing3,烈,lie4,净,jing4,C
1029,"Heat or hot weather, especially the intense heat of summer.",noun,暑,shu3,6,Commonly seen in words like 暑假 (summer vacation) and 中暑 (heatstroke),暑,shu3,顺,shun4,夏,xia4,竖,shu4,沫,mo4,A
1030,"A pronoun meaning 'certain' or 'some' used to refer to an unspecified person, place, or thing. Often used when the speaker doesn't want to or cannot specify exactly who or what they're referring to.",pronoun,某,mou3,6,"Common in phrases like 某人 (a certain person/someone), 某地 (a certain place/somewhere), 某天 (a certain day/someday)",挡,dang3,贴,tie1,某,mou3,各,ge4,砸,za2,C
1031,"State, condition, or appearance of something; also means shape or form.",noun,状,zhuang4,6,"Commonly seen in words like 状态 (state/condition), 状况 (situation), and 形状 (shape)",状,zhuang4,涨,zhang3,璃,li2,功,gong1,脆,cui4,A
1032,"Crazy, wild, or mad; describes extreme, uncontrolled behavior or enthusiasm. Can also mean arrogant or fanatical.",adjective,狂,kuang2,6,Common in words like 疯狂 (fēngkuáng - crazy/wild) and 狂热 (kuángrè - fanatical),狂,kuang2,蒂,di4,妙,miao4,酷,ku4,讲,jiang3,A
1033,"A ring, circle, or loop-shaped object; can also mean to surround or encircle something.",noun/verb,环,huan2,6,"Common in words like 环境 (environment, literally 'surrounding'), 耳环 (earring), and 循环 (cycle)",众,zhong4,博,bo2,乌,wu1,森,sen1,环,huan2,E
1034,"To look at or see; an informal, colloquial way to say 'look' or 'see'",verb,瞧,qiao2,6,"Common in spoken Chinese, often used in phrases like 瞧一瞧 (take a look) or 你瞧 (look!)",瞧,qiao2,曼,man4,维,wei2,嚷,rang3,召,zhao4,A
1035,To wish or express good wishes; to offer blessings or congratulations to someone.,verb,祝,zhu4,6,Commonly used in greetings and celebrations like 祝你生日快乐 (wish you happy birthday) or 祝贺 (congratulate),盘,pan2,央,yang1,震,zhen4,祝,zhu4,弱,ruo4,D
1036,"Auspicious, lucky, or fortunate; refers to good omens and prosperity.",adjective,祥,xiang2,6,Commonly found in names and traditional expressions like 吉祥 (jíxiáng - auspicious) and 慈祥 (cíxiáng - kindly),领,ling3,即,ji2,广,guang3,曲,qu1,祥,xiang2,E
1037,"An adverb expressing surprise or unexpectedness, meaning 'unexpectedly', 'actually', or 'to one's surprise'.",adverb,竟,jing4,6,Often used in phrases like 竟然 (unexpectedly) to emphasize that something happened contrary to expectations,庞,pang2,拴,shuan1,番,fan1,含,han2,竟,jing4,E
1038,To test or examine; to take or give an exam. Also means to investigate or think over carefully.,verb,考,kao3,6,"Common in words like 考试 (exam), 高考 (college entrance exam), and 考虑 (to consider)",掌,zhang3,缠,chan2,考,kao3,检,jian3,某,mou3,C
1039,The chest or breast area of the body; the front part of the torso between the neck and abdomen.,noun,胸,xiong1,6,"Common in words like 胸口 (chest area), 胸部 (chest/breast), and 心胸 (mind/breadth of mind)",谢,xie4,胸,xiong1,犯,fan4,漂,piao1,袜,wa4,B
1040,"To take off, remove, or shed (clothing, shoes, or outer layers); to escape or break away from something.",verb,脱,tuo1,6,"Common in everyday expressions like 脱衣服 (take off clothes), 脱鞋 (take off shoes)",耸,song3,绳,sheng2,脱,tuo1,首,shou3,伟,wei3,C
1041,"Comfortable, relaxed, or at ease; describes a pleasant physical or mental state free from stress or discomfort.",adjective,舒,shu1,6,Commonly seen in words like 舒服 (comfortable) and 舒适 (cozy),啷,lang1,贼,zei2,舒,shu1,军,jun1,裂,lie4,C
1042,"To think over, consider, or worry about something carefully. Often refers to concerns or anxieties about future situations.",verb,虑,lv4,6,"Commonly seen in words like 考虑 (kǎolǜ - to consider), 顾虑 (gùlǜ - misgivings), and 忧虑 (yōulǜ - to worry)",逼,bi1,忆,yi4,凤,feng4,否,fou3,虑,lv4,E
1043,A spiral-shelled creature like a snail or conch; also refers to螺旋 (spiral) shapes and螺丝 (screw) in compound words.,noun,螺,luo2,6,"Common in words like 海螺 (sea snail), 螺丝 (screw), and 螺旋 (spiral)",鼹,yan3,喷,pen1,姬,ji1,螺,luo2,梅,mei2,D
1044,Sock or stocking; a piece of clothing worn on the foot and lower leg.,noun,袜,wa4,6,"Commonly used in 袜子 (wàzi, socks) and 丝袜 (sīwà, stockings)",缩,suo1,兆,zhao4,袜,wa4,弹,dan4,捅,tong3,C
1045,"To wrap, bind, or bundle something up by covering it completely from all sides.",verb,裹,guo3,6,"Commonly used for wrapping objects, food (like dumplings), or bundling oneself in clothing, as in 包裹 (package) or 裹着毯子 (wrapped in a blanket)",拇,mu3,裹,guo3,调,diao4,烁,shuo4,勾,gou1,B
1046,To read aloud or to study; refers to the act of reading text or attending school.,verb,读,du2,6,Common in phrases like 读书 (to read books/to study) and 读大学 (to attend university),臂,bi4,土,tu3,读,du2,枚,mei2,储,chu3,C
1047,A Chinese surname; also an archaic term meaning 'merchant' or 'to trade',noun,贾,jia3,6,"Most commonly encountered as a family name, as in 贾宝玉 (Jia Baoyu), the protagonist of the classic novel Dream of the Red Chamber",灿,can4,贾,jia3,噼,pi1,官,guan1,骨,gu3,B
1048,"A wheel or circular object; also used as a measure word for rounds, turns, or cycles of events.",noun/measure word,轮,lun2,6,"Common in words like 车轮 (wheel), 轮流 (take turns), and phrases like 第一轮 (first round)",怯,qie4,悦,yue4,反,fan3,轮,lun2,笨,ben4,D
1049,"To welcome, greet, or go to meet someone or something. Also means to move toward or face something approaching.",verb,迎,ying2,6,"Common in phrases like 欢迎 (welcome), 迎接 (to meet/greet)",库,ku4,荧,ying2,迎,ying2,暴,bao4,挪,nuo2,C
1050,"A trace, mark, or sign left behind by something; evidence or indication of past presence or activity.",noun,迹,ji4,6,"Commonly used in words like 痕迹 (hénjì - trace/mark), 足迹 (zújì - footprint), and 奇迹 (qíjì - miracle)",跌,die1,晨,chen2,迹,ji4,璃,li2,晶,jing1,C
1051,"To pass, hand over, or deliver something to someone. Commonly used when giving objects from one person to another.",verb,递,di4,6,Used in phrases like 递给我 (pass to me) or 递交 (submit/hand in),毁,hui3,臭,chou4,递,di4,胸,xiong1,陪,pei2,C
1052,"To meet or encounter someone or something, often by chance or unexpectedly. Can also mean to experience or come across a situation.",verb,遇,yu4,6,"Common in words like 遇到 (yù dào - to run into), 相遇 (xiāng yù - to meet), and 遭遇 (zāo yù - to encounter/experience)",仓,cang1,递,di4,滞,zhi4,遇,yu4,躬,gong1,D
1053,"Key, as in the tool used to open locks. This character is almost always used in the compound word 钥匙 (yàoshi).",noun,钥,yao4,6,Rarely used alone; typically appears in 钥匙 (key),狱,yu4,八,ba1,钥,yao4,划,hua4,冽,lie4,C
1054,Money or currency in general form. One of the most essential everyday words for financial transactions and discussing costs.,noun,钱,qian2,6,"Used in phrases like 多少钱 (how much money), 有钱 (to have money/be wealthy), 花钱 (to spend money)",匈,xiong1,困,kun4,钱,qian2,埚,guo1,碎,sui4,C
1055,To rush or barge in; to break through or force one's way into a place. Also means to venture out or make one's way in the world through bold action.,verb,闯,chuang3,6,Common in phrases like 闯进 (to barge into) and 闯祸 (to cause trouble),闯,chuang3,引,yin3,囱,cong1,怨,yuan4,缕,lv3,A
1056,"A step or stair; also refers to rank, level, or grade in a hierarchy or system.",noun,阶,jie1,6,"Common in words like 楼梯 (stairs), 阶段 (stage/phase), and 阶级 (social class)",框,kuang1,姿,zi1,脾,pi2,揉,rou2,阶,jie1,E
1057,"Means 'special', 'specialized', or 'focused on one thing'; often indicates concentration or expertise in a particular area.",adjective/adverb,专,zhuan1,5,"Common in words like 专业 (major/profession), 专家 (expert), and 专门 (specially/exclusively)",专,zhuan1,志,zhi4,砰,peng1,蝙,bian1,涂,tu2,A
1058,"Great, mighty, or grand in scale or importance. Used to describe impressive achievements, people, or things of exceptional significance.",adjective,伟,wei3,5,Commonly seen in words like 伟大 (wěidà - great/mighty) and names like 毛泽东 (Máo Zédōng),足,zu2,伟,wei3,研,yan2,扛,kang2,蛛,zhu1,B
1059,Father's elder brother (uncle); also used as a respectful term for elderly men or in titles to indicate seniority or rank.,noun,伯,bo2,5,Common in family terms like 伯父 (uncle) and names like 伯爵 (earl/count),搅,jiao3,邀,yao1,集,ji2,缠,chan2,伯,bo2,E
1060,Value or worth; can also mean 'to be worth' or 'to be on duty'. Most commonly used to express the value or price of something.,noun/verb,值,zhi2,5,"Found in words like 价值 (value), 值得 (worthwhile), and 值班 (on duty)",袭,xi2,柳,liu3,值,zhi2,卜,bo,饲,si4,C
1061,"To fill, to be full of, or to act as/serve as. Also means to charge (a battery or phone) or to top up (an account).",verb,充,chong1,5,"Common in words like 充电 (charge a battery), 充满 (be full of), 充当 (act as)",了,le,釜,fu3,坪,ping2,充,chong1,沾,zhan1,D
1062,"A pocket or pouch; as a verb, it means to wrap up, hold in a bag, or go around in a circle.",noun/verb,兜,dou1,5,Common in words like 裤兜 (pants pocket) and 兜风 (go for a drive/ride),灾,zai1,惕,ti4,兜,dou1,丢,diu1,人,ren2,C
1063,"The number eight. In Chinese culture, eight is considered a lucky number because it sounds similar to the word for prosperity (发).",number,八,ba1,5,"Used in counting, dates, addresses, and phone numbers",冥,ming2,八,ba1,救,jiu4,琢,zuo2,去,qu4,B
1064,To cut with scissors or shears; to trim or clip something using a cutting tool.,verb,剪,jian3,5,"Common in phrases like 剪头发 (cut hair), 剪纸 (paper cutting)",知,zhi1,剪,jian3,碑,bei1,狐,hu2,吐,tu3,B
1065,A suffix meaning 'to change into' or 'to transform'; also means '-ize' or '-ify' when creating verbs from nouns or adjectives.,suffix/verb,化,hua4,5,"Common in words like 文化 (culture), 变化 (change), 现代化 (modernize), 美化 (beautify)",绒,rong2,发,fa1,噩,e4,绪,xu4,化,hua4,E
1066,"The number one thousand (1,000). Used in counting, measurements, and expressing large quantities.",number,千,qian1,5,"Common in phrases like 千米 (kilometer), 三千 (three thousand), and 成千上万 (thousands upon thousands)",胜,sheng4,被,bei4,屉,ti4,蟾,chan2,千,qian1,E
1067,South; the cardinal direction opposite to north. Also used to refer to southern regions or areas.,noun,南,nan2,5,"Common in directional terms like 南方 (south/southern region), 东南 (southeast), and place names like 湖南 (Hunan)",悚,song3,阳,yang2,快,kuai4,南,nan2,蛙,wa1,D
1068,"To chant, recite, or hum poetry or verses in a rhythmic, melodious way. Often refers to the traditional Chinese practice of reciting classical poetry aloud.",verb,吟,yin2,5,Commonly seen in literary contexts like 吟诗 (chant poetry) or 呻吟 (groan/moan),拇,mu3,谷,gu3,黑,hei1,印,yin4,吟,yin2,E
1069,To kiss; a kiss. Used for romantic kisses as well as affectionate kisses between family members.,verb/noun,吻,wen3,5,Common in phrases like 接吻 (to kiss) and 亲吻 (to kiss affectionately),固,gu4,先,xian1,躯,qu1,吻,wen3,族,zu2,D
1070,"To groan or moan, typically expressing pain, discomfort, or distress through vocal sounds.",verb,呻,shen1,5,"Most commonly seen in the word 呻吟 (shēnyín, to groan/moan)",泪,lei4,东,dong1,镶,xiang1,式,shi4,呻,shen1,E
1071,"An onomatopoeia that represents hissing, snickering, or laughing sounds. It mimics sounds like air escaping, steam releasing, or suppressed laughter.",onomatopoeia,哧,chi1,5,Commonly seen in compounds like 哧哧 (hissing sound) or 哧笑 (to snicker/giggle),哧,chi1,玛,ma3,鳄,e4,择,ze2,但,dan4,A
1072,"An onomatopoeia representing clanging, jingling, or metallic ringing sounds.",onomatopoeia,啷,lang1,5,Commonly appears in compound words like 叮叮啷啷 (ding ding lang lang - jingling sound) or 啷当 (lang dang - clanging sound),啷,lang1,沫,mo4,粪,fen4,吧,ba,着,zhe,A
1073,"A crucible, which is a heat-resistant container used for melting metals or other substances at very high temperatures.",noun,坩,gan1,5,"Most commonly seen in the compound word 坩埚 (gānguō), meaning crucible, used in scientific and industrial contexts",呢,ne,琦,qi2,坩,gan1,茎,jing1,把,ba3,C
1074,To bury or hide something underground or beneath a surface; to cover up completely.,verb,埋,mai2,5,Common in phrases like 埋葬 (to bury the dead) and 埋头 (to immerse oneself in work),粉,fen3,子,zi,计,ji4,芬,fen1,埋,mai2,E
1075,A crucible or pot used for melting metals or other materials at high temperatures in industrial or laboratory settings.,noun,埚,guo1,5,Commonly seen in technical contexts like 坩埚 (gānguō - crucible),肉,rou4,她,ta1,违,wei2,埚,guo1,普,pu3,D
1076,"To seize, grab, or take by force; to compete for and win something.",verb,夺,duo2,5,"Common in words like 夺取 (seize), 争夺 (fight for), and 夺冠 (win a championship)",身,shen1,床,chuang2,规,gui1,夺,duo2,飘,piao1,D
1077,Milk or breast milk; also refers to grandmother (paternal) or a term for breasts,noun,奶,nai3,5,"Common in words like 牛奶 (cow's milk), 奶奶 (paternal grandmother), and 奶茶 (milk tea)",儿,er2,仓,cang1,酷,ku4,奶,nai3,注,zhu4,D
1078,"Woman, especially a married woman or wife. Often used in formal or compound words relating to women.",noun,妇,fu4,5,"Common in words like 妇女 (women), 主妇 (housewife), 夫妇 (married couple)",齿,chi3,妇,fu4,偶,ou3,位,wei4,跟,gen1,B
1079,"A hole, opening, or aperture in an object. Also refers to Confucius (as a surname) in classical contexts.",noun,孔,kong3,5,Common in words like 孔洞 (hole/cavity) and 毛孔 (pore); also in 孔子 (Confucius),堂,tang2,孔,kong3,削,xue1,修,xiu1,站,zhan4,B
1080,"To live, reside, or dwell in a place; to occupy a position or status.",verb,居,ju1,5,"Common in words like 居住 (to reside), 居民 (resident), and 居然 (unexpectedly)",居,ju1,简,jian3,吩,fen1,海,hai3,区,qu1,A
1081,Mountain or hill; a natural elevation of the earth's surface.,noun,山,shan1,5,Common in place names and compound words like 山上 (on the mountain) or 爬山 (to climb a mountain),山,shan1,呼,hu1,高,gao1,坛,tan2,哀,ai1,A
1082,"A mat or seat; also used as a measure word for banquets, feasts, or席位 (seats at formal gatherings).",noun/measure word,席,xi2,5,"Common in words like 出席 (attend), 主席 (chairman), and 酒席 (banquet)",叫,jiao4,妃,fei1,烦,fan2,央,yang1,席,xi2,E
1083,"A measure word used for counting paintings, scrolls, cloth, and other flat rectangular items; also means width or extent.",measure word / noun,幅,fu2,5,"Common in phrases like 一幅画 (a painting) or 幅度 (range, extent)",展,zhan3,休,xiu1,廓,kuo4,兰,lan2,幅,fu2,E
1084,"Bent, curved, or crooked; can also mean to bend or curve something. Describes anything that is not straight, from roads to objects.",adjective/verb,弯,wan1,5,"Common in words like 弯路 (curved road), 转弯 (turn/make a turn), 弯腰 (bend over)",弯,wan1,姨,yi2,孩,hai2,恕,shu4,悴,cui4,A
1085,"A path, trail, or small road; also refers to diameter in geometry or a direct route/way of doing something.",noun,径,jing4,5,"Common in words like 小径 (small path), 直径 (diameter), and 径直 (directly)",雷,lei2,径,jing4,抹,mo3,敢,gan3,披,pi1,B
1086,"To remember, recall, or think back on past events or experiences",verb,忆,yi4,5,Commonly used in words like 回忆 (huíyì - to recall/memory) and 记忆 (jìyì - memory),搅,jiao3,尖,jian1,忆,yi4,怀,huai2,撕,si1,C
1087,"To resent, blame, or hold a grudge against someone; to complain about unfair treatment or misfortune.",verb,怨,yuan4,5,Common in words like 抱怨 (bàoyuàn - to complain) and 怨恨 (yuànhèn - resentment),母,mu3,李,li3,离,li2,怨,yuan4,检,jian3,D
1088,"To restore, recover, or return to a previous state. Most commonly seen in the word 恢复 (huīfù), meaning to restore or resume.",verb,恢,hui1,5,Typically used in compound words like 恢复健康 (recover health) or 恢复正常 (return to normal),漏,lou4,恢,hui1,殊,shu1,理,li3,胳,ge1,B
1089,"War, battle, or fight; to fight or engage in combat. Also means to tremble or shiver (from fear or cold).",noun/verb,战,zhan4,5,"Common in words like 战争 (war), 战斗 (battle), 挑战 (challenge)",俩,lia3,双,shuang1,益,yi4,战,zhan4,浪,lang4,D
1090,"To turn (a corner); to kidnap or abduct someone, especially children. Also refers to a crutch or walking stick.",verb/noun,拐,guai3,5,Common in directions like 拐弯 (turn a corner) and warnings about 拐卖 (human trafficking),拐,guai3,焉,yan1,哑,ya3,喜,xi3,糖,tang2,A
